userId,numCores,kernel,class,cpu,country,architecture,distribution
388192,1,2.6.40,embedded,unknown,Denmark,i686,Fedora
114385,1,2.6.17,embedded,VIA Esther 1000MHz,Canada,i386,Fedora
95598,1,2.6.32,embedded,Marvell Kirkwood 6281 ARM-compatible CPU 1.2 GHz,Germany,arm,Debian
180408,1,2.6.32,embedded,MIPS 24Kc V7.4,United States,mips,OpenWrt
179849,1,2.6.21,embedded,Ralink RT3050F,Germany,mips,Linux From Scratch
60833,1,3.0.0,embedded,Intel Core i5-760 Processor 2.80 GHz,Poland,mips,OpenWrt
199234,1,2.6.32,embedded,MPC8315,France,ppc,OpenWrt
286755,1,2.6.32,embedded,MIPS 24Kc V7.4,United States,mips,OpenWrt
287623,1,2.6.38,embedded,ARMv6-compatible processor,South Korea,unknown,Slackware
337190,1,2.6.23,embedded,unknown,Spain,x86,Gentoo Linux
343217,1,2.6.33,embedded,Marvell Kirkwood 88F6281 1.2 GHz,Germany,unknown,Debian
343217,1,2.6.39,embedded,Marvell Kirkwood 88F6281 1.2 GHz,Germany,unknown,Debian
36725,2,2.6.35,embedded,Tegra 2  1.2GHz,United States,unknown,Android
542857,1,2.6.39,embedded,Atheros AR7161 MIPS 24Kc V4.12,Romania,mips,OpenWrt
542824,1,2.6.26,embedded,unknown,Portugal,mips,OpenWrt
543098,1,2.6.24,embedded,MIPS 74K V4.9,Canada,mips,OpenWrt
542968,1,2.6.22,embedded,ADSP-BF533,United States,unknown,uClinux
525681,1,2.6.32,embedded,Atheros AR7161 MIPS 24Kc V4.12,Russian Federation,mips,OpenWrt
412588,1,3.16.0,embedded,Marvell Kirkwood 88F6281 1.2 GHz,Germany,arm,Debian
200256,1,3.18,embedded,Qualcomm QCA9558,Russian Federation,mips,unknown
368856,1,2.6.36,embedded,ARM v5,Italy,arm,Debian
398409,0,3.18.11,embedded,MIPS 24Kc V7.4,Australia,mips,OpenWrt
543216,1,2.6.32,embedded,MIPS 24Kc V7.4,Germany,mips,OpenWrt
408571,1,2.6.32,embedded,Marvell Kirkwood 88F6281 1.2 GHz,Poland,unknown,Debian
392927,1,3.0.4,embedded,Intel Atom,Uzbekistan,x86_64,Arch
543666,1,3.0.1,embedded,MIPS 74Kc V4.0,Belarus,mips,OpenWrt
415271,1,2.6.38,embedded,VIA Esther 1000MHz,Switzerland,i686,Ubuntu
415271,1,2.6.35,embedded,AMD Geode LX 500 MHz,Switzerland,i586,Ubuntu
